fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
0.941,10000,10,1,plurality,0.0,2,2
0.907,10000,10,1,majority,0.0,2,2
0.973,10000,10,1,plurality,0.0,2,2
0.925,10000,10,1,majority,0.0,2,2
0.91,10000,10,1,plurality,0.0,2,2
0.952,10000,10,1,majority,0.0,2,2
0.871,10000,10,1,plurality,0.0,2,2
0.922,10000,10,1,majority,0.0,2,2
0.903,10000,10,1,plurality,0.0,2,2
0.85,10000,10,1,majority,0.0,2,2
0.85,10000,10,1,plurality,0.0,2,2
0.879,10000,10,1,majority,0.0,2,2
0.827,10000,10,1,plurality,0.0,2,2
0.913,10000,10,1,majority,0.0,2,2
0.814,10000,10,1,plurality,0.0,2,2
0.776,10000,10,1,majority,0.0,2,2
0.932,10000,10,1,plurality,0.0,2,2
1.157,10000,10,1,majority,0.0,2,2
0.936,10000,10,1,plurality,0.0,2,2
0.955,10000,10,1,majority,0.0,2,2
0.92,10000,10,1,plurality,0.0,2,2
0.857,10000,10,1,majority,0.0,2,2
0.956,10000,10,1,plurality,0.0,2,2
0.882,10000,10,1,majority,0.0,2,2
0.841,10000,10,1,plurality,0.0,2,2
0.855,10000,10,1,majority,0.0,2,2
0.936,10000,10,1,plurality,0.0,2,2
0.864,10000,10,1,majority,0.0,2,2
0.941,10000,10,1,plurality,0.0,2,2
0.959,10000,10,1,majority,0.0,2,2
1.189,10000,10,1,plurality,0.0,2,2
0.988,10000,10,1,majority,0.0,2,2
0.93,10000,10,1,plurality,0.0,2,2
0.999,10000,10,1,majority,0.0,2,2
0.877,10000,10,1,plurality,0.0,2,2
0.92,10000,10,1,majority,0.0,2,2
0.982,10000,10,1,plurality,0.0,2,2
0.964,10000,10,1,majority,0.0,2,2
1.091,10000,10,1,plurality,0.0,2,2
0.85,10000,10,1,majority,0.0,2,2
0.906,10000,10,1,plurality,0.0,2,2
0.943,10000,10,1,majority,0.0,2,2
0.853,10000,10,1,plurality,0.0,2,2
0.947,10000,10,1,majority,0.0,2,2
0.824,10000,10,1,plurality,0.0,2,2
0.862,10000,10,1,majority,0.0,2,2
0.897,10000,10,1,plurality,0.0,2,2
0.821,10000,10,1,majority,0.0,2,2
