fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
7.065,10000,1,1,majority,0.0,2,2
6.719,10000,1,1,majority,0.0,2,12
5.399,10000,1,1,majority,0.0,2,22
1.851,10000,1,1,majority,0.0,3,2
5.653,10000,1,1,majority,0.0,3,12
5.783,10000,1,1,majority,0.0,3,22
1.735,10000,1,1,majority,0.0,4,2
5.662,10000,1,1,majority,0.0,4,12
4.5,10000,1,1,majority,0.0,4,22
2.454,10000,1,1,majority,0.0,5,2
4.788,10000,1,1,majority,0.0,5,12
5.543,10000,1,1,majority,0.0,5,22
2.19,10000,1,1,majority,0.0,6,2
5.522,10000,1,1,majority,0.0,6,12
5.849,10000,1,1,majority,0.0,6,22
4.663,10000,1,1,majority,0.0,7,2
5.819,10000,1,1,majority,0.0,7,12
6.736,10000,1,1,majority,0.0,7,22
7.559,10000,1,1,majority,0.0,8,2
6.292,10000,1,1,majority,0.0,8,12
5.952,10000,1,1,majority,0.0,8,22
6.053,10000,1,1,majority,0.0,9,2
4.538,10000,1,1,majority,0.0,9,12
6.105,10000,1,1,majority,0.0,9,22
5.658,10000,1,1,majority,0.0,10,2
4.703,10000,1,1,majority,0.0,10,12
5.384,10000,1,1,majority,0.0,10,22
5.588,10000,1,1,majority,0.01,2,2
4.695,10000,1,1,majority,0.01,2,12
5.044,10000,1,1,majority,0.01,2,22
4.99,10000,1,1,majority,0.01,3,2
5.889,10000,1,1,majority,0.01,3,12
5.592,10000,1,1,majority,0.01,3,22
5.561,10000,1,1,majority,0.01,4,2
5.055,10000,1,1,majority,0.01,4,12
5.905,10000,1,1,majority,0.01,4,22
5.635,10000,1,1,majority,0.01,5,2
4.872,10000,1,1,majority,0.01,5,12
5.254,10000,1,1,majority,0.01,5,22
5.664,10000,1,1,majority,0.01,6,2
5.948,10000,1,1,majority,0.01,6,12
4.786,10000,1,1,majority,0.01,6,22
5.988,10000,1,1,majority,0.01,7,2
5.08,10000,1,1,majority,0.01,7,12
5.461,10000,1,1,majority,0.01,7,22
4.177,10000,1,1,majority,0.01,8,2
5.622,10000,1,1,majority,0.01,8,12
5.104,10000,1,1,majority,0.01,8,22
2.151,10000,1,1,majority,0.01,9,2
5.574,10000,1,1,majority,0.01,9,12
5.63,10000,1,1,majority,0.01,9,22
4.33,10000,1,1,majority,0.01,10,2
4.839,10000,1,1,majority,0.01,10,12
5.174,10000,1,1,majority,0.01,10,22
2.682,10000,1,1,majority,0.05,2,2
5.216,10000,1,1,majority,0.05,2,12
6.206,10000,1,1,majority,0.05,2,22
1.688,10000,1,1,majority,0.05,3,2
5.689,10000,1,1,majority,0.05,3,12
5.421,10000,1,1,majority,0.05,3,22
3.441,10000,1,1,majority,0.05,4,2
5.648,10000,1,1,majority,0.05,4,12
5.442,10000,1,1,majority,0.05,4,22
4.25,10000,1,1,majority,0.05,5,2
3.434,10000,1,1,majority,0.05,5,12
6.039,10000,1,1,majority,0.05,5,22
3.012,10000,1,1,majority,0.05,6,2
5.407,10000,1,1,majority,0.05,6,12
4.388,10000,1,1,majority,0.05,6,22
3.439,10000,1,1,majority,0.05,7,2
4.991,10000,1,1,majority,0.05,7,12
6.3,10000,1,1,majority,0.05,7,22
3.412,10000,1,1,majority,0.05,8,2
6.354,10000,1,1,majority,0.05,8,12
5.389,10000,1,1,majority,0.05,8,22
5.815,10000,1,1,majority,0.05,9,2
4.76,10000,1,1,majority,0.05,9,12
4.54,10000,1,1,majority,0.05,9,22
5.546,10000,1,1,majority,0.05,10,2
4.512,10000,1,1,majority,0.05,10,12
6.087,10000,1,1,majority,0.05,10,22
2.961,10000,1,1,plurality,0.0,2,2
5.016,10000,1,1,plurality,0.0,2,12
5.716,10000,1,1,plurality,0.0,2,22
2.889,10000,1,1,plurality,0.0,3,2
6.908,10000,1,1,plurality,0.0,3,12
5.845,10000,1,1,plurality,0.0,3,22
3.346,10000,1,1,plurality,0.0,4,2
3.852,10000,1,1,plurality,0.0,4,12
5.756,10000,1,1,plurality,0.0,4,22
5.97,10000,1,1,plurality,0.0,5,2
5.446,10000,1,1,plurality,0.0,5,12
5.118,10000,1,1,plurality,0.0,5,22
6.642,10000,1,1,plurality,0.0,6,2
4.994,10000,1,1,plurality,0.0,6,12
6.818,10000,1,1,plurality,0.0,6,22
3.171,10000,1,1,plurality,0.0,7,2
4.489,10000,1,1,plurality,0.0,7,12
5.758,10000,1,1,plurality,0.0,7,22
5.857,10000,1,1,plurality,0.0,8,2
5.807,10000,1,1,plurality,0.0,8,12
5.196,10000,1,1,plurality,0.0,8,22
6.364,10000,1,1,plurality,0.0,9,2
6.133,10000,1,1,plurality,0.0,9,12
4.677,10000,1,1,plurality,0.0,9,22
4.847,10000,1,1,plurality,0.0,10,2
5.887,10000,1,1,plurality,0.0,10,12
5.372,10000,1,1,plurality,0.0,10,22
7.881,10000,1,1,plurality,0.01,2,2
5.119,10000,1,1,plurality,0.01,2,12
5.832,10000,1,1,plurality,0.01,2,22
2.633,10000,1,1,plurality,0.01,3,2
5.155,10000,1,1,plurality,0.01,3,12
6.031,10000,1,1,plurality,0.01,3,22
4.265,10000,1,1,plurality,0.01,4,2
5.98,10000,1,1,plurality,0.01,4,12
5.4,10000,1,1,plurality,0.01,4,22
6.319,10000,1,1,plurality,0.01,5,2
5.989,10000,1,1,plurality,0.01,5,12
5.487,10000,1,1,plurality,0.01,5,22
5.347,10000,1,1,plurality,0.01,6,2
5.642,10000,1,1,plurality,0.01,6,12
5.364,10000,1,1,plurality,0.01,6,22
6.161,10000,1,1,plurality,0.01,7,2
5.088,10000,1,1,plurality,0.01,7,12
5.378,10000,1,1,plurality,0.01,7,22
8.696,10000,1,1,plurality,0.01,8,2
5.661,10000,1,1,plurality,0.01,8,12
6.042,10000,1,1,plurality,0.01,8,22
7.149,10000,1,1,plurality,0.01,9,2
5.234,10000,1,1,plurality,0.01,9,12
5.055,10000,1,1,plurality,0.01,9,22
2.671,10000,1,1,plurality,0.01,10,2
6.092,10000,1,1,plurality,0.01,10,12
6.063,10000,1,1,plurality,0.01,10,22
4.407,10000,1,1,plurality,0.05,2,2
6.137,10000,1,1,plurality,0.05,2,12
5.862,10000,1,1,plurality,0.05,2,22
3.66,10000,1,1,plurality,0.05,3,2
4.431,10000,1,1,plurality,0.05,3,12
5.75,10000,1,1,plurality,0.05,3,22
4.49,10000,1,1,plurality,0.05,4,2
4.85,10000,1,1,plurality,0.05,4,12
5.462,10000,1,1,plurality,0.05,4,22
6.521,10000,1,1,plurality,0.05,5,2
7.04,10000,1,1,plurality,0.05,5,12
5.52,10000,1,1,plurality,0.05,5,22
6.394,10000,1,1,plurality,0.05,6,2
4.939,10000,1,1,plurality,0.05,6,12
6.027,10000,1,1,plurality,0.05,6,22
5.621,10000,1,1,plurality,0.05,7,2
5.955,10000,1,1,plurality,0.05,7,12
5.58,10000,1,1,plurality,0.05,7,22
2.113,10000,1,1,plurality,0.05,8,2
5.386,10000,1,1,plurality,0.05,8,12
6.681,10000,1,1,plurality,0.05,8,22
4.965,10000,1,1,plurality,0.05,9,2
5.364,10000,1,1,plurality,0.05,9,12
5.657,10000,1,1,plurality,0.05,9,22
3.057,10000,1,1,plurality,0.05,10,2
5.173,10000,1,1,plurality,0.05,10,12
4.923,10000,1,1,plurality,0.05,10,22
3.049,10000,1,2,majority,0.0,2,2
2.9,10000,1,2,majority,0.0,2,12
2.899,10000,1,2,majority,0.0,2,22
1.643,10000,1,2,majority,0.0,3,2
3.274,10000,1,2,majority,0.0,3,12
3.206,10000,1,2,majority,0.0,3,22
1.986,10000,1,2,majority,0.0,4,2
2.785,10000,1,2,majority,0.0,4,12
2.557,10000,1,2,majority,0.0,4,22
3.079,10000,1,2,majority,0.0,5,2
3.34,10000,1,2,majority,0.0,5,12
2.496,10000,1,2,majority,0.0,5,22
1.68,10000,1,2,majority,0.0,6,2
3.211,10000,1,2,majority,0.0,6,12
3.229,10000,1,2,majority,0.0,6,22
2.244,10000,1,2,majority,0.0,7,2
2.407,10000,1,2,majority,0.0,7,12
2.76,10000,1,2,majority,0.0,7,22
3.498,10000,1,2,majority,0.0,8,2
3.173,10000,1,2,majority,0.0,8,12
2.68,10000,1,2,majority,0.0,8,22
2.093,10000,1,2,majority,0.0,9,2
2.656,10000,1,2,majority,0.0,9,12
2.424,10000,1,2,majority,0.0,9,22
2.948,10000,1,2,majority,0.0,10,2
3.282,10000,1,2,majority,0.0,10,12
2.573,10000,1,2,majority,0.0,10,22
1.22,10000,1,2,majority,0.01,2,2
2.792,10000,1,2,majority,0.01,2,12
2.607,10000,1,2,majority,0.01,2,22
2.3,10000,1,2,majority,0.01,3,2
3.184,10000,1,2,majority,0.01,3,12
3.012,10000,1,2,majority,0.01,3,22
1.811,10000,1,2,majority,0.01,4,2
2.702,10000,1,2,majority,0.01,4,12
3.049,10000,1,2,majority,0.01,4,22
3.011,10000,1,2,majority,0.01,5,2
2.998,10000,1,2,majority,0.01,5,12
2.675,10000,1,2,majority,0.01,5,22
2.274,10000,1,2,majority,0.01,6,2
2.5,10000,1,2,majority,0.01,6,12
3.295,10000,1,2,majority,0.01,6,22
1.971,10000,1,2,majority,0.01,7,2
2.597,10000,1,2,majority,0.01,7,12
2.528,10000,1,2,majority,0.01,7,22
3.217,10000,1,2,majority,0.01,8,2
2.935,10000,1,2,majority,0.01,8,12
2.789,10000,1,2,majority,0.01,8,22
1.317,10000,1,2,majority,0.01,9,2
2.518,10000,1,2,majority,0.01,9,12
3.029,10000,1,2,majority,0.01,9,22
1.208,10000,1,2,majority,0.01,10,2
1.977,10000,1,2,majority,0.01,10,12
3.004,10000,1,2,majority,0.01,10,22
2.65,10000,1,2,majority,0.05,2,2
3.435,10000,1,2,majority,0.05,2,12
3.394,10000,1,2,majority,0.05,2,22
2.307,10000,1,2,majority,0.05,3,2
3.718,10000,1,2,majority,0.05,3,12
2.714,10000,1,2,majority,0.05,3,22
1.041,10000,1,2,majority,0.05,4,2
2.741,10000,1,2,majority,0.05,4,12
3.302,10000,1,2,majority,0.05,4,22
2.862,10000,1,2,majority,0.05,5,2
2.552,10000,1,2,majority,0.05,5,12
2.891,10000,1,2,majority,0.05,5,22
2.231,10000,1,2,majority,0.05,6,2
3.33,10000,1,2,majority,0.05,6,12
3.033,10000,1,2,majority,0.05,6,22
2.711,10000,1,2,majority,0.05,7,2
2.411,10000,1,2,majority,0.05,7,12
3.132,10000,1,2,majority,0.05,7,22
2.798,10000,1,2,majority,0.05,8,2
3.595,10000,1,2,majority,0.05,8,12
2.855,10000,1,2,majority,0.05,8,22
4.134,10000,1,2,majority,0.05,9,2
2.981,10000,1,2,majority,0.05,9,12
2.846,10000,1,2,majority,0.05,9,22
2.364,10000,1,2,majority,0.05,10,2
2.931,10000,1,2,majority,0.05,10,12
2.644,10000,1,2,majority,0.05,10,22
1.568,10000,1,2,plurality,0.0,2,2
2.663,10000,1,2,plurality,0.0,2,12
2.972,10000,1,2,plurality,0.0,2,22
1.773,10000,1,2,plurality,0.0,3,2
2.549,10000,1,2,plurality,0.0,3,12
2.623,10000,1,2,plurality,0.0,3,22
3.594,10000,1,2,plurality,0.0,4,2
2.447,10000,1,2,plurality,0.0,4,12
3.605,10000,1,2,plurality,0.0,4,22
2.719,10000,1,2,plurality,0.0,5,2
2.365,10000,1,2,plurality,0.0,5,12
2.898,10000,1,2,plurality,0.0,5,22
2.418,10000,1,2,plurality,0.0,6,2
3.085,10000,1,2,plurality,0.0,6,12
2.949,10000,1,2,plurality,0.0,6,22
4.276,10000,1,2,plurality,0.0,7,2
2.829,10000,1,2,plurality,0.0,7,12
2.628,10000,1,2,plurality,0.0,7,22
4.583,10000,1,2,plurality,0.0,8,2
2.929,10000,1,2,plurality,0.0,8,12
2.559,10000,1,2,plurality,0.0,8,22
1.698,10000,1,2,plurality,0.0,9,2
2.969,10000,1,2,plurality,0.0,9,12
3.149,10000,1,2,plurality,0.0,9,22
2.598,10000,1,2,plurality,0.0,10,2
2.871,10000,1,2,plurality,0.0,10,12
2.879,10000,1,2,plurality,0.0,10,22
1.119,10000,1,2,plurality,0.01,2,2
3.234,10000,1,2,plurality,0.01,2,12
3.025,10000,1,2,plurality,0.01,2,22
2.276,10000,1,2,plurality,0.01,3,2
2.932,10000,1,2,plurality,0.01,3,12
3.227,10000,1,2,plurality,0.01,3,22
3.456,10000,1,2,plurality,0.01,4,2
2.699,10000,1,2,plurality,0.01,4,12
2.987,10000,1,2,plurality,0.01,4,22
1.297,10000,1,2,plurality,0.01,5,2
2.612,10000,1,2,plurality,0.01,5,12
3.262,10000,1,2,plurality,0.01,5,22
4.098,10000,1,2,plurality,0.01,6,2
3.328,10000,1,2,plurality,0.01,6,12
3.04,10000,1,2,plurality,0.01,6,22
4.054,10000,1,2,plurality,0.01,7,2
2.282,10000,1,2,plurality,0.01,7,12
2.839,10000,1,2,plurality,0.01,7,22
2.647,10000,1,2,plurality,0.01,8,2
3.249,10000,1,2,plurality,0.01,8,12
