unweighted_fairness,weighted_fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues,seats,min_share_threshold
1.902,1.902,10000,1,1,proportional,0.0,2,2,150,0.0
1.758,1.758,10000,1,1,proportional,0.0,2,2,150,0.04
2.404,2.404,10000,1,1,proportional,0.0,2,2,150,0.1
3.949,3.949,10000,1,1,proportional,0.0,2,2,179,0.0
5.615,5.615,10000,1,1,proportional,0.0,2,2,179,0.04
6.452,6.452,10000,1,1,proportional,0.0,2,2,179,0.1
5.984,5.984,10000,1,1,proportional,0.0,2,2,349,0.0
4.537,4.517,10000,1,1,proportional,0.0,2,2,349,0.04
5.354,5.32,10000,1,1,proportional,0.0,2,2,349,0.1
2.236,2.236,10000,1,1,proportional,0.0,2,2,736,0.0
4.249,4.224,10000,1,1,proportional,0.0,2,2,736,0.04
3.059,3.042,10000,1,1,proportional,0.0,2,2,736,0.1
6.081,6.065,10000,1,1,proportional,0.0,2,5,150,0.0
4.006,4.006,10000,1,1,proportional,0.0,2,5,150,0.04
4.156,4.156,10000,1,1,proportional,0.0,2,5,150,0.1
5.235,5.235,10000,1,1,proportional,0.0,2,5,179,0.0
6.031,6.031,10000,1,1,proportional,0.0,2,5,179,0.04
5.118,5.118,10000,1,1,proportional,0.0,2,5,179,0.1
4.683,4.683,10000,1,1,proportional,0.0,2,5,349,0.0
5.686,5.686,10000,1,1,proportional,0.0,2,5,349,0.04
4.771,4.771,10000,1,1,proportional,0.0,2,5,349,0.1
6.414,6.414,10000,1,1,proportional,0.0,2,5,736,0.0
5.5,5.5,10000,1,1,proportional,0.0,2,5,736,0.04
5.004,5.004,10000,1,1,proportional,0.0,2,5,736,0.1
6.223,6.223,10000,1,1,proportional,0.0,2,10,150,0.0
5.819,5.814,10000,1,1,proportional,0.0,2,10,150,0.04
5.655,5.647,10000,1,1,proportional,0.0,2,10,150,0.1
4.857,4.854,10000,1,1,proportional,0.0,2,10,179,0.0
5.552,5.547,10000,1,1,proportional,0.0,2,10,179,0.04
4.102,4.097,10000,1,1,proportional,0.0,2,10,179,0.1
6.245,6.245,10000,1,1,proportional,0.0,2,10,349,0.0
5.928,5.928,10000,1,1,proportional,0.0,2,10,349,0.04
5.567,5.552,10000,1,1,proportional,0.0,2,10,349,0.1
6.039,6.039,10000,1,1,proportional,0.0,2,10,736,0.0
5.705,5.695,10000,1,1,proportional,0.0,2,10,736,0.04
7.424,7.418,10000,1,1,proportional,0.0,2,10,736,0.1
5.921,5.919,10000,1,1,proportional,0.0,2,25,150,0.0
5.784,5.779,10000,1,1,proportional,0.0,2,25,150,0.04
5.906,5.906,10000,1,1,proportional,0.0,2,25,150,0.1
6.281,6.282,10000,1,1,proportional,0.0,2,25,179,0.0
5.244,5.237,10000,1,1,proportional,0.0,2,25,179,0.04
5.722,5.711,10000,1,1,proportional,0.0,2,25,179,0.1
6.0,5.994,10000,1,1,proportional,0.0,2,25,349,0.0
5.296,5.289,10000,1,1,proportional,0.0,2,25,349,0.04
4.779,4.779,10000,1,1,proportional,0.0,2,25,349,0.1
